City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
24,Namibe,AO,2021-01-13 20:59:19,-15.1961,12.1522,72.57,71,83,5.68
25,Rikitea,PF,2021-01-13 21:02:23,-23.1203,-134.9692,77.76,77,24,14.99
26,Furukawa,JP,2021-01-13 21:02:23,38.5717,140.9556,35.6,69,75,8.05
27,Georgetown,MY,2021-01-13 20:59:07,5.4112,100.3354,77.0,83,20,6.8
28,Qaanaaq,GL,2021-01-13 20:59:06,77.484,-69.3632,-2.2,82,0,4.38
29,Dawlatabad,AF,2021-01-13 21:02:23,36.4141,64.9053,37.17,66,0,2.37
30,Rydultowy,PL,2021-01-13 21:02:23,50.0586,18.417,32.0,93,100,5.99
31,Saldanha,ZA,2021-01-13 21:02:23,-33.0117,17.9442,78.8,53,0,5.75
32,Atuona,PF,2021-01-13 21:02:23,-9.8,-139.0333,77.52,78,53,15.93
33,Dingle,PH,2021-01-13 21:02:23,10.9995,122.6711,75.63,86,93,10.22
34,Moen,NO,2021-01-13 21:02:23,69.1304,18.6123,5.0,78,75,3.44
35,Bathsheba,BB,2021-01-13 20:59:20,13.2167,-59.5167,82.4,65,40,17.27
36,Hithadhoo,MV,2021-01-13 21:02:24,-0.6,73.0833,82.08,74,100,21.68
37,Faanui,PF,2021-01-13 21:02:24,-16.4833,-151.75,80.92,76,100,15.59
38,Ushuaia,AR,2021-01-13 21:01:01,-54.8,-68.3,59.0,51,75,5.75
39,Bambous Virieux,MU,2021-01-13 21:02:24,-20.3428,57.7575,78.01,94,75,2.3
40,Nalut,LY,2021-01-13 21:02:24,30.3333,10.85,45.57,55,0,5.57
41,Provideniya,RU,2021-01-13 21:02:24,64.3833,-173.3,5.0,78,90,8.95
42,Victoria,HK,2021-01-13 20:58:50,22.2855,114.1577,54.0,40,0,3.44
43,Airai,TL,2021-01-13 21:02:24,-8.9266,125.4092,61.52,100,76,1.45
44,Hobart,AU,2021-01-13 21:02:24,-42.8794,147.3294,62.6,51,40,10.36
45,Viedma,AR,2021-01-13 20:59:27,-40.8135,-62.9967,82.99,38,58,1.99
46,Mangan,IN,2021-01-13 21:02:24,27.5167,88.5333,55.56,50,65,1.14
47,Westport,US,2021-01-13 21:01:01,41.1415,-73.3579,39.99,60,90,6.71
48,Mar Del Plata,AR,2021-01-13 21:02:09,-38.0023,-57.5575,68.0,64,0,17.27
49,Sechura,PE,2021-01-13 20:59:54,-5.5569,-80.8222,81.68,55,47,18.54
50,Sur,OM,2021-01-13 21:02:24,22.5667,59.5289,65.21,57,0,2.35
51,Yulara,AU,2021-01-13 21:02:24,-25.2406,130.9889,84.2,21,0,6.91
52,Esperance,AU,2021-01-13 21:02:24,-33.8667,121.9,53.6,71,75,5.75
53,Quatre Cocos,MU,2021-01-13 21:02:24,-20.2078,57.7625,78.01,94,75,2.3
54,Kapaa,US,2021-01-13 21:02:24,22.0752,-159.319,78.8,61,1,3.11
55,Hasaki,JP,2021-01-13 21:01:53,35.7333,140.8333,30.2,86,20,1.14
56,Paraiso,CR,2021-01-13 21:02:24,9.8383,-83.8656,75.2,50,0,18.41
57,Knysna,ZA,2021-01-13 21:02:25,-34.0363,23.0471,64.4,100,90,3.44
58,Walvis Bay,NA,2021-01-13 21:02:25,-22.9575,14.5053,70.0,77,99,4.61
59,Avarua,CK,2021-01-13 21:02:25,-21.2078,-159.775,86.0,70,20,17.27
60,Jamestown,US,2021-01-13 20:59:03,42.097,-79.2353,36.0,86,1,12.1
61,Cape Town,ZA,2021-01-13 21:01:25,-33.9258,18.4232,73.99,64,0,6.91
62,Merauke,ID,2021-01-13 21:02:25,-8.4667,140.3333,81.21,80,100,3.27
63,Callaway,US,2021-01-13 21:02:25,30.153,-85.5699,51.01,66,20,5.75
64,Namatanai,PG,2021-01-13 21:02:25,-3.6667,152.4333,81.27,76,94,9.64
65,San Patricio,US,2021-01-13 21:02:25,28.017,-97.5169,60.8,54,75,6.91
66,Atbasar,KZ,2021-01-13 21:02:25,51.8,68.3333,-15.88,85,0,3.4
